,장소코드,장소명,시간대,혼잡수준,최소인원,최대인원
0,POI001,강남 MICE 관광특구,2024-04-15 19:00,보통,18000,20000
1,POI001,강남 MICE 관광특구,2024-04-15 20:00,보통,14000,16000
2,POI001,강남 MICE 관광특구,2024-04-15 21:00,여유,10000,12000
3,POI001,강남 MICE 관광특구,2024-04-15 22:00,여유,6000,6500
4,POI001,강남 MICE 관광특구,2024-04-15 23:00,여유,3500,4000
5,POI001,강남 MICE 관광특구,2024-04-16 00:00,여유,2000,2500
6,POI001,강남 MICE 관광특구,2024-04-16 01:00,여유,1500,2000
7,POI001,강남 MICE 관광특구,2024-04-16 02:00,여유,1000,1500
8,POI001,강남 MICE 관광특구,2024-04-16 03:00,여유,1000,1500
9,POI001,강남 MICE 관광특구,2024-04-16 04:00,여유,1000,1500
10,POI001,강남 MICE 관광특구,2024-04-16 05:00,여유,1000,1500
11,POI001,강남 MICE 관광특구,2024-04-16 06:00,여유,1000,1500
12,POI002,동대문 관광특구,2024-04-15 19:00,약간 붐빔,20000,22000
13,POI002,동대문 관광특구,2024-04-15 20:00,약간 붐빔,20000,22000
14,POI002,동대문 관광특구,2024-04-15 21:00,약간 붐빔,20000,22000
15,POI002,동대문 관광특구,2024-04-15 22:00,약간 붐빔,20000,22000
16,POI002,동대문 관광특구,2024-04-15 23:00,약간 붐빔,20000,22000
17,POI002,동대문 관광특구,2024-04-16 00:00,약간 붐빔,18000,20000
18,POI002,동대문 관광특구,2024-04-16 01:00,약간 붐빔,18000,20000
19,POI002,동대문 관광특구,2024-04-16 02:00,보통,18000,20000
20,POI002,동대문 관광특구,2024-04-16 03:00,보통,16000,18000
21,POI002,동대문 관광특구,2024-04-16 04:00,보통,16000,18000
22,POI002,동대문 관광특구,2024-04-16 05:00,여유,14000,16000
23,POI002,동대문 관광특구,2024-04-16 06:00,여유,12000,14000
24,POI003,명동 관광특구,2024-04-15 19:00,약간 붐빔,50000,52000
25,POI003,명동 관광특구,2024-04-15 20:00,보통,38000,40000
26,POI003,명동 관광특구,2024-04-15 21:00,여유,28000,30000
27,POI003,명동 관광특구,2024-04-15 22:00,여유,20000,22000
28,POI003,명동 관광특구,2024-04-15 23:00,여유,12000,14000
29,POI003,명동 관광특구,2024-04-16 00:00,여유,8500,9000
30,POI003,명동 관광특구,2024-04-16 01:00,여유,6000,6500
31,POI003,명동 관광특구,2024-04-16 02:00,여유,4500,5000
32,POI003,명동 관광특구,2024-04-16 03:00,여유,4000,4500
33,POI003,명동 관광특구,2024-04-16 04:00,여유,4000,4500
34,POI003,명동 관광특구,2024-04-16 05:00,여유,3500,4000
35,POI003,명동 관광특구,2024-04-16 06:00,여유,3500,4000
36,POI004,이태원 관광특구,2024-04-15 19:00,보통,8500,9000
37,POI004,이태원 관광특구,2024-04-15 20:00,보통,8000,8500
38,POI004,이태원 관광특구,2024-04-15 21:00,보통,7000,7500
39,POI004,이태원 관광특구,2024-04-15 22:00,여유,6000,6500
40,POI004,이태원 관광특구,2024-04-15 23:00,여유,5000,5500
41,POI004,이태원 관광특구,2024-04-16 00:00,여유,4000,4500
42,POI004,이태원 관광특구,2024-04-16 01:00,여유,3500,4000
43,POI004,이태원 관광특구,2024-04-16 02:00,여유,3000,3500
44,POI004,이태원 관광특구,2024-04-16 03:00,여유,3000,3500
45,POI004,이태원 관광특구,2024-04-16 04:00,여유,3000,3500
46,POI004,이태원 관광특구,2024-04-16 05:00,여유,2500,3000
47,POI004,이태원 관광특구,2024-04-16 06:00,여유,3000,3500
48,POI005,잠실 관광특구,2024-04-15 19:00,보통,50000,52000
49,POI005,잠실 관광특구,2024-04-15 20:00,보통,46000,48000
50,POI005,잠실 관광특구,2024-04-15 21:00,여유,42000,44000
51,POI005,잠실 관광특구,2024-04-15 22:00,여유,36000,38000
